trial	copf	ropf	ccc	rcc	eta	csjc	rsjc	eps
136	567.073	0.0170978	568.157	0.0175736	0.445546	565.215	0.0100981	0.0100879
137	567.073	0.0170978	568.166	0.0175778	0.445145	565.215	0.0100981	0.0100812
138	567.073	0.0170978	568.175	0.0175815	0.444745	565.215	0.0100981	0.0100745
139	567.073	0.0170978	568.184	0.0175852	0.444344	565.215	0.0100981	0.0100678
140	567.073	0.0170978	568.193	0.0175888	0.443944	565.215	0.0100981	0.0100611
141	567.073	0.0170978	568.202	0.0175925	0.443544	565.215	0.0100981	0.0100544
142	567.073	0.0170978	568.212	0.0175961	0.443143	565.215	0.0100981	0.0100476
143	567.073	0.0170978	568.221	0.0175997	0.442743	565.215	0.0100981	0.0100409
144	567.073	0.0170978	568.23	0.0176032	0.442342	565.215	0.0100981	0.0100342
145	567.073	0.0170978	568.239	0.0176068	0.441942	565.215	0.0100981	0.0100275
146	567.073	0.0170978	568.248	0.0176109	0.441542	565.215	0.0100981	0.0100208
147	567.073	0.0170978	568.258	0.0176152	0.441141	565.215	0.0100981	0.0100141
148	567.073	0.0170978	568.267	0.0176196	0.440741	565.215	0.0100981	0.0100074
149	567.073	0.0170978	568.276	0.0176235	0.44034	565.215	0.0100981	0.0100007
150	567.073	0.0170978	568.286	0.0176271	0.43994	565.215	0.00999419	0.00999399
151	567.073	0.0170978	568.295	0.0176308	0.43954	565.215	0.00998748	0.00998729
152	567.073	0.0170978	568.304	0.0176344	0.439139	565.215	0.00998078	0.00998058
153	567.073	0.0170978	568.314	0.0176382	0.438739	565.215	0.00997407	0.00997387
154	567.073	0.0170978	568.323	0.0176424	0.438338	565.215	0.00996736	0.00996717
155	567.073	0.0170978	568.332	0.0176468	0.437938	565.215	0.00996066	0.00996046
156	567.073	0.0170978	568.342	0.0176512	0.437538	565.215	0.00995395	0.00995375
157	567.073	0.0170978	568.351	0.0176557	0.437137	565.215	0.00994724	0.00994705
158	567.073	0.0170978	568.361	0.0176602	0.436737	565.215	0.00994054	0.00994034
159	567.073	0.0170978	568.37	0.0176646	0.436336	565.215	0.00993383	0.00993363
